id,level,link,child,pid,name,ename,memo,text
203803000,7,7-710-71003-7100339-7100339003-71003390034-203803000,0,71003390034,南嶺蕘花,Wikstroemia indica,,南嶺蕘花 <i>Wikstroemia indica</i>  (L.) C.A. Mey.<font class=c2 ></font>
203804000,7,7-710-71003-7100339-7100339003-71003390034-203804000,0,71003390034,披針葉蕘花,Wikstroemia lanceolata,,披針葉蕘花 <i>Wikstroemia lanceolata</i>  Merr.<font class=c2 ></font>
203805000,7,7-710-71003-7100339-7100339003-71003390034-203805000,0,71003390034,紅蕘花,Wikstroemia mononectaria,,紅蕘花 <i>Wikstroemia mononectaria</i>  Hayata<font class=c2 > [Endemic]</font>
203806000,7,7-710-71003-7100339-7100339003-71003390034-203806000,0,71003390034,倒卵葉蕘花,Wikstroemia retusa,,倒卵葉蕘花 <i>Wikstroemia retusa</i>  A. Gray<font class=c2 ></font>
203807000,7,7-710-71003-7100339-7100339003-71003390034-203807000,0,71003390034,臺灣蕘花,Wikstroemia taiwanensis,,臺灣蕘花 <i>Wikstroemia taiwanensis</i>  C.E. Chang<font class=c2 > [Endemic]</font>
7100340001,5,7-710-71003-7100340-7100340001,1,7100340,疊珠樹科,Family Akaniaceae,1屬 1種,疊珠樹科  Family Akaniaceae<font class=c1>   1屬 1種</font>
7100340002,5,7-710-71003-7100340-7100340002,1,7100340,十字花科,Family Brassicaceae,20屬 51種,十字花科  Family Brassicaceae<font class=c1>   20屬 51種</font>
7100340003,5,7-710-71003-7100340-7100340003,1,7100340,山柑科,Family Capparaceae,2屬 8種,山柑科  Family Capparaceae<font class=c1>   2屬 8種</font>
7100340004,5,7-710-71003-7100340-7100340004,1,7100340,番木瓜科,Family Caricaceae,1屬 1種,番木瓜科  Family Caricaceae<font class=c1>   1屬 1種</font>
7100340005,5,7-710-71003-7100340-7100340005,1,7100340,白花菜科,Family Cleomaceae,3屬 5種,白花菜科  Family Cleomaceae<font class=c1>   3屬 5種</font>
7100340006,5,7-710-71003-7100340-7100340006,1,7100340,金蓮花科,Family Tropaeolaceae,1屬 1種,金蓮花科  Family Tropaeolaceae<font class=c1>   1屬 1種</font>
71003400011,6,7-710-71003-7100340-7100340001-71003400011,1,7100340001,鐘萼木屬,Genus Bretschneidera,1種,鐘萼木屬  Genus <i>Bretschneidera</i><font class=c1>   1種</font>
204436000,7,7-710-71003-7100340-7100340001-71003400011-204436000,0,71003400011,鐘萼木,Bretschneidera sinensis,,鐘萼木 <i>Bretschneidera sinensis</i>  Hemsl.<font class=c2 ></font>
71003400021,6,7-710-71003-7100340-7100340002-71003400021,1,7100340002,擬南芥屬,Genus Arabidopsis,2種,擬南芥屬  Genus <i>Arabidopsis</i><font class=c1>   2種</font>
71003400022,6,7-710-71003-7100340-7100340002-71003400022,1,7100340002,筷子芥屬,Genus Arabis,3種,筷子芥屬  Genus <i>Arabis</i><font class=c1>   3種</font>
71003400023,6,7-710-71003-7100340-7100340002-71003400023,1,7100340002,山芥屬,Genus Barbarea,3種,山芥屬  Genus <i>Barbarea</i><font class=c1>   3種</font>
71003400024,6,7-710-71003-7100340-7100340002-71003400024,1,7100340002,蕓苔屬,Genus Brassica,10種,蕓苔屬  Genus <i>Brassica</i><font class=c1>   10種</font>
71003400025,6,7-710-71003-7100340-7100340002-71003400025,1,7100340002,薺屬,Genus Capsella,1種,薺屬  Genus <i>Capsella</i><font class=c1>   1種</font>
71003400026,6,7-710-71003-7100340-7100340002-71003400026,1,7100340002,碎米薺屬,Genus Cardamine,8種,碎米薺屬  Genus <i>Cardamine</i><font class=c1>   8種</font>
71003400027,6,7-710-71003-7100340-7100340002-71003400027,1,7100340002,濱芥屬,Genus Coronopus,1種,濱芥屬  Genus <i>Coronopus</i><font class=c1>   1種</font>
71003400028,6,7-710-71003-7100340-7100340002-71003400028,1,7100340002,山薺屬,Genus Draba,1種,山薺屬  Genus <i>Draba</i><font class=c1>   1種</font>
71003400029,6,7-710-71003-7100340-7100340002-71003400029,1,7100340002,山葵屬,Genus Eutrema,1種,山葵屬  Genus <i>Eutrema</i><font class=c1>   1種</font>
710034000210,6,7-710-71003-7100340-7100340002-710034000210,1,7100340002,獨行菜屬,Genus Lepidium,3種,獨行菜屬  Genus <i>Lepidium</i><font class=c1>   3種</font>
710034000211,6,7-710-71003-7100340-7100340002-710034000211,1,7100340002,水芥菜屬,Genus Nastrutium,1種,水芥菜屬  Genus <i>Nastrutium</i><font class=c1>   1種</font>
710034000212,6,7-710-71003-7100340-7100340002-710034000212,1,7100340002,豆瓣菜屬,Genus Nasturtium,1種,豆瓣菜屬  Genus <i>Nasturtium</i><font class=c1>   1種</font>
710034000213,6,7-710-71003-7100340-7100340002-710034000213,1,7100340002,球果薺屬,Genus Neslia,1種,球果薺屬  Genus <i>Neslia</i><font class=c1>   1種</font>
710034000214,6,7-710-71003-7100340-7100340002-710034000214,1,7100340002,萊服屬,Genus Raphanus,2種,萊服屬  Genus <i>Raphanus</i><font class=c1>   2種</font>
710034000215,6,7-710-71003-7100340-7100340002-710034000215,1,7100340002,皺果薺屬,Genus Rapistrum,1種,皺果薺屬  Genus <i>Rapistrum</i><font class=c1>   1種</font>
710034000216,6,7-710-71003-7100340-7100340002-710034000216,1,7100340002,葶藶屬,Genus Rorippa,7種,葶藶屬  Genus <i>Rorippa</i><font class=c1>   7種</font>
710034000217,6,7-710-71003-7100340-7100340002-710034000217,1,7100340002,抪娘蒿屬,Genus Sisymbrium,2種,抪娘蒿屬  Genus <i>Sisymbrium</i><font class=c1>   2種</font>
710034000218,6,7-710-71003-7100340-7100340002-710034000218,1,7100340002,菥蓂屬,Genus Thlaspi,1種,菥蓂屬  Genus <i>Thlaspi</i><font class=c1>   1種</font>
